Model,Accuracy,Log_Loss,Brier_Score,ROC_AUC
MLP,0.6713355048859935,0.6113846248934791,0.21123998794143564,0.7206281281622362
XGBoost,0.6688925081433225,0.598622453360829,0.20666609342358927,0.7341043452485525
CatBoost,0.6714983713355049,0.5988280607999678,0.2068819149435031,0.7327514756163117
Logistic Regression,0.6628664495114006,0.6153843526650327,0.21329027163125647,0.7165282012575485
Pace Margin (CDF),0.6684039087947883,0.6084725260734558,0.21056973934173584,0.7216103162373011
Ensemble,0.6732899022801303,0.5978582060161304,0.2060478387272818,0.736201582941179
